Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
12/29/20 8:39,208,4.16,0.02
12/29/20 8:42,209,4.18,0.02
12/29/20 8:47,210,4.2,0.02
12/29/20 8:48,211,4.22,0.02
12/29/20 8:50,212,4.24,0.02
12/29/20 8:53,213,4.26,0.02
12/29/20 8:57,214,4.28,0.02
12/29/20 9:01,215,4.3,0.02
12/29/20 9:04,216,4.32,0.02
12/29/20 9:07,217,4.34,0.02
12/29/20 9:11,218,4.36,0.02
12/29/20 9:12,219,4.38,0.02
12/29/20 9:13,220,4.4,0.02
12/29/20 9:14,221,4.42,0.02
12/29/20 9:18,222,4.44,0.02
12/29/20 9:22,223,4.46,0.02
12/29/20 9:25,224,4.48,0.02
12/29/20 9:26,225,4.5,0.02
12/29/20 9:29,226,4.52,0.02
12/29/20 9:32,227,4.54,0.02
12/29/20 9:35,228,4.56,0.02
12/29/20 9:37,229,4.58,0.02
12/29/20 9:41,230,4.6,0.02
12/29/20 9:43,231,4.62,0.02
12/29/20 9:47,232,4.64,0.02
12/29/20 9:49,233,4.66,0.02
12/29/20 9:51,234,4.68,0.02
12/29/20 9:55,235,4.7,0.02
1/22/21 20:47,236,4.72,0.02
1/22/21 21:21,237,4.74,0.02
1/22/21 21:21,238,4.76,0.02
1/22/21 21:22,239,4.78,0.02
1/22/21 21:23,240,4.8,0.02
1/22/21 21:24,241,4.82,0.02
1/22/21 21:30,242,4.84,0.02
1/22/21 21:44,243,4.86,0.02
1/22/21 21:50,244,4.88,0.02
1/22/21 21:54,245,4.9,0.02
1/22/21 21:56,246,4.92,0.02
1/22/21 22:01,247,4.94,0.02
1/22/21 22:05,248,4.96,0.02
1/22/21 22:08,249,4.98,0.02
1/22/21 22:28,250,5,0.02
1/22/21 22:35,251,5.02,0.02
1/23/21 1:05,252,5.04,0.02
1/23/21 1:20,253,5.06,0.02
1/23/21 4:17,254,5.08,0.02
1/23/21 4:34,255,5.1,0.02
1/23/21 4:43,256,5.12,0.02
1/23/21 11:48,257,5.14,0.02
1/23/21 12:08,258,5.16,0.02
1/23/21 12:28,259,5.18,0.02
1/23/21 17:17,260,5.2,0.02
1/23/21 17:39,261,5.22,0.02
1/23/21 17:49,262,5.24,0.02
1/23/21 17:59,263,5.26,0.02
1/23/21 18:03,264,5.28,0.02
1/23/21 18:05,265,5.3,0.02
1/23/21 18:10,266,5.32,0.02
